Issue Key,Issue Type,Summary,Description,Epic,Priority,Status,Sprint,Labels
FOLIO-1,Epic,User Login & Security,Get students safely in and out of Folio using their Eduvos account,Phase 0 — Prototype,High,Done,Sprint 0,auth
FOLIO-2,Story,Login and MFA Screens,Email password screen six-digit MFA entry resend timer and error messages,Phase 0 — Prototype,High,Done,Sprint 0,auth frontend
FOLIO-3,Sub-task,Email and password entry screen,Input fields for institutional email and password with a sign-in button,Phase 0 — Prototype,High,Done,Sprint 0,auth frontend
FOLIO-4,Sub-task,Six-digit MFA code entry,Six individual input boxes that auto-advance with a resend countdown timer,Phase 0 — Prototype,High,Done,Sprint 0,auth frontend
FOLIO-5,Sub-task,Sign out flow,Profile menu sign-out button that returns the user to the login screen,Phase 0 — Prototype,Medium,Done,Sprint 0,auth frontend
FOLIO-6,Epic,Dashboard Overview,Give students a clear landing page that summarises their documents and upcoming tasks,Phase 0 — Prototype,High,Done,Sprint 0,dashboard
FOLIO-7,Story,Dashboard Layout and Stats,Welcome heading summary stat cards active timelines and recent documents,Phase 0 — Prototype,High,Done,Sprint 0,dashboard frontend
FOLIO-8,Sub-task,Summary stat cards,Cards showing document count pending obligations AI summaries and compliance health,Phase 0 — Prototype,High,Done,Sprint 0,dashboard frontend
FOLIO-9,Sub-task,Active timelines preview,Show the next three upcoming deadlines with urgency indicators,Phase 0 — Prototype,Medium,Done,Sprint 0,dashboard frontend
FOLIO-10,Sub-task,Recent documents list,Show the latest uploaded documents with type tags and confidence,Phase 0 — Prototype,Medium,Done,Sprint 0,dashboard frontend
FOLIO-11,Sub-task,Empty state when no documents exist,Friendly message guiding the student to upload their first document,Phase 0 — Prototype,Low,Planned,Sprint 0,dashboard frontend
FOLIO-12,Epic,Document Vault,Let students browse search and open their uploaded financial documents,Phase 0 — Prototype,High,Done,Sprint 0,documents
FOLIO-13,Story,Document List and Filters,Document cards with category tags confidence dates pages and summaries,Phase 0 — Prototype,High,Done,Sprint 0,documents frontend
FOLIO-14,Sub-task,Document cards with type tags,Each document shows a coloured category tag title summary date and page count,Phase 0 — Prototype,High,Done,Sprint 0,documents frontend
FOLIO-15,Sub-task,Search bar in the top header,Search input for finding documents and extracted information,Phase 0 — Prototype,Medium,Done,Sprint 0,documents frontend
FOLIO-16,Sub-task,Open document detail button,Button on each card that opens the full extraction detail view,Phase 0 — Prototype,High,Done,Sprint 0,documents frontend
FOLIO-17,Epic,Document Upload,Let students securely upload financial documents and see processing progress,Phase 0 — Prototype,High,Done,Sprint 0,upload
FOLIO-18,Story,Upload Modal and Processing Animation,Drag-and-drop area title input category selector and animated processing steps,Phase 0 — Prototype,High,Done,Sprint 0,upload frontend
