Issue Key,Issue Type,Summary,Description,Epic,Priority,Status,Sprint,Dependencies,Acceptance Criteria,Labels,Implementation Area,Source References
FOLIO-D001,Epic,Secure identity and access,Replace simulated sign-in with Eduvos OIDC-backed identity and enforce user and role boundaries,Secure Pilot Foundation,Highest,Planned,Sprint 1,None,"Valid OIDC users can enter Folio; invalid, expired, wrong-audience, and missing-subject tokens fail safely",auth security,"backend/src/main/java/za/co/folio; frontend/src/components/FolioApp.tsx","docs/PRD.md Identity and sessions; docs/BACKEND.md 3 6; docs/ROADMAP.md 1.1"
FOLIO-D002,Task,Add Spring Security dependencies and resource-server configuration,Add JWT resource-server dependencies and environment-driven issuer and audience configuration to the backend scaffold,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D001,"Backend starts with configured issuer and audience; missing production security configuration fails clearly; no secrets are committed",backend auth,"backend/pom.xml; backend/src/main/resources/application.yml","docs/BACKEND.md 5 6; docs/DEVELOPMENT.md 5"
FOLIO-D003,Task,Implement OIDC JWT claim validation,Validate issuer audience signature expiry and required subject claims with explicit authentication failures,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D002,"Unit tests cover wrong issuer wrong audience expired token missing subject and valid token",backend security,"backend/src/main/java/za/co/folio/config","docs/PRD.md Identity and sessions; docs/ROADMAP.md 1.1"
FOLIO-D004,Task,Create user and role migrations,Create PostgreSQL migrations for users roles institution scope status and timestamps keyed by OIDC subject,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D003,"Migration applies cleanly; OIDC subject is unique; role grants and revokes have timestamps",database auth,"backend/src/main/resources/db/migration","docs/BACKEND.md 3; docs/ROADMAP.md 1.2"
FOLIO-D005,Task,Provision local user on first authenticated request,Create or update a local user from validated OIDC claims without using email as the identity key,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D004,"First request creates one user; repeat requests update last-login safely; subject mapping remains stable",backend auth,"backend/src/main/java/za/co/folio","docs/PRD.md Identity and sessions; docs/BACKEND.md 3"
FOLIO-D006,Task,Add authenticated request context,Expose current user tenant and role scope to controllers services repositories and audit event builders,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D005,"Every protected request has an identity context; unauthenticated access returns 401",backend auth,"backend/src/main/java/za/co/folio/config","docs/BACKEND.md 5 6"
FOLIO-D007,Task,Implement generic 401 and 403 problem responses,Return safe problem responses with code request ID message and field errors without resource existence leaks,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D006,"Protected endpoints return consistent 401/403 JSON; missing and unauthorized documents do not differ in observable response",backend api security,"backend/src/main/java/za/co/folio/api","docs/BACKEND.md 5 6; docs/DEVELOPMENT.md 9"
FOLIO-D008,Task,Add frontend session provider and route guard,Replace local credential simulation with session bootstrap callback handling sign-out expiry and protected route behavior,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D005,"Unauthenticated users are redirected to sign-in; expiry clears state; callback errors are recoverable",frontend auth,"frontend/app; frontend/src/components/FolioApp.tsx","docs/FRONTEND.md 3 4; docs/ROADMAP.md 0.3"
FOLIO-D009,Task,Add authentication integration tests,Cover callback replay logout expiry and sign-in audit behavior with synthetic identity claims,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D008,"Authentication test suite covers happy path and all listed failure cases without real credentials",qa auth,"backend/src/test; frontend","docs/DEVELOPMENT.md 8; docs/ROADMAP.md 1.1"
FOLIO-D010,Epic,Document metadata and persistence,Create the relational document model needed for ownership processing provenance deadlines questions consent and audit,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-D001,"All required metadata persists with ownership and retention fields; source bytes are not stored in PostgreSQL",database,"backend/src/main/resources/db/migration; backend/src/main/java/za/co/folio","docs/BACKEND.md 3; docs/ROADMAP.md 1.2"
