Issue Key,Issue Type,Task,What to build,Area,Priority,Status,Depends on,Done when,Useful files
FOLIO-S001,Epic,Folio app setup,Set up the main Folio application structure,Foundation,High,Planned,None,The app runs locally and the main screens are easy to reach,README.md; docs/DEVELOPMENT.md
FOLIO-S002,Task,Navigation and sidebar,Build the desktop sidebar and mobile navigation,Frontend,High,Done,None,Users can move between Dashboard Documents Ask Deadlines and Security without layout problems,frontend/src/components/FolioApp.tsx; frontend/app/globals.css
FOLIO-S003,Task,Dashboard screen,Build the dashboard with document counts upcoming deadlines recent documents and quick actions,Frontend,High,Done,FOLIO-S002,Dashboard shows useful empty loading and error states,frontend/src/components/FolioApp.tsx
FOLIO-S004,Task,Document list screen,Build the document vault list with cards categories dates confidence and status,Frontend,High,Done,FOLIO-S002,Users can see their documents and an empty state when there are none,frontend/src/components/FolioApp.tsx
FOLIO-S005,Task,Document filters,Add filters for document type processing status date and confidence,Frontend,Medium,Planned,FOLIO-S004,FILTERS change the displayed documents correctly,frontend/src/components/FolioApp.tsx
FOLIO-S006,Task,Document detail screen,Build the page that shows a document summary entities source preview OCR and JSON,Frontend,High,Planned,FOLIO-S004,Users can open a document and switch between its detail tabs,frontend/src/components/FolioApp.tsx
FOLIO-S007,Task,Source evidence display,Show the page or passage that supports every extracted fact,Frontend,High,Planned,FOLIO-S006,Every value has source evidence or clearly says evidence is unavailable,frontend/src/components/FolioApp.tsx
FOLIO-S008,Task,Upload document window,Build the upload window with title category file selection and progress,Frontend,High,Planned,FOLIO-S004,Users receive clear success error retry and processing messages,frontend/src/components/FolioApp.tsx
FOLIO-S009,Task,Ask Folio screen,Build the question screen with question input suggestions answers and citations,Frontend,High,Planned,FOLIO-S002,Users can ask a question and see its sources,frontend/src/components/FolioApp.tsx
FOLIO-S010,Task,Deadline screen,Build the deadlines timeline with urgency source document and completion action,Frontend,Medium,Planned,FOLIO-S002,Users can see upcoming overdue completed and uncertain deadlines,frontend/src/components/FolioApp.tsx
FOLIO-S011,Task,Security screen,Build the security page with sharing controls audit search and export button,Frontend,High,Planned,FOLIO-S002,Users can view security information and search audit activity,frontend/src/components/FolioApp.tsx
FOLIO-S012,Task,Mobile and accessibility check,Check keyboard use screen readers contrast focus and small screens,Frontend,High,Planned,FOLIO-S002,Main journeys work at mobile width without horizontal scrolling,frontend/app/globals.css; docs/DEVELOPMENT.md
FOLIO-S013,Epic,Login and users,Allow students to sign in securely and give each user their own account,Backend,Highest,Planned,None,Valid users can sign in and users cannot see another user's information,docs/PRD.md; docs/BACKEND.md
FOLIO-S014,Task,Connect Eduvos login,Connect the backend to Eduvos OIDC login,Backend,Highest,Planned,None,The backend accepts valid Eduvos tokens and rejects invalid tokens,backend/pom.xml; backend/src/main/resources/application.yml
FOLIO-S015,Task,Create user account record,Save a local user record the first time they sign in,Backend,Highest,Planned,FOLIO-S014,A user is created from their OIDC subject and duplicate accounts are not created,docs/BACKEND.md
FOLIO-S016,Task,Add logout and session expiry,Handle logout expired sessions and failed login callbacks,Backend,High,Planned,FOLIO-S014,Expired or logged-out sessions cannot access protected pages,docs/PRD.md; frontend/app
FOLIO-S017,Task,Add login tests,Test valid login wrong issuer wrong audience expired token and missing user ID,Testing,High,Planned,FOLIO-S014,All login tests pass without real credentials,docs/DEVELOPMENT.md
FOLIO-S018,Epic,Document database,Store document information and processing results in PostgreSQL,Backend,Highest,Planned,FOLIO-S015,Documents users deadlines questions and audit records can be saved and loaded,docs/BACKEND.md; docs/ROADMAP.md
FOLIO-S019,Task,Create document tables,Create database tables for users documents versions and processing attempts,Database,Highest,Planned,FOLIO-S015,Tables store owner file name type size checksum status and dates,docs/BACKEND.md
FOLIO-S020,Task,Create extracted data tables,Create tables for extracted facts document text chunks and source locations,Database,High,Planned,FOLIO-S019,Each extracted fact points to its document page and processing version,docs/BACKEND.md
FOLIO-S021,Task,Create deadline and question tables,Create tables for deadlines questions answers and citations,Database,High,Planned,FOLIO-S019,Deadlines and answers can be linked back to their source documents,docs/BACKEND.md
FOLIO-S022,Task,Create consent and audit tables,Create tables for sharing permissions consent history and audit events,Database,Highest,Planned,FOLIO-S019,Consent has recipient purpose expiry and revocation information,docs/PRD.md
FOLIO-S023,Task,Document ownership queries,Make sure database queries only return documents the current user may see,Backend,Highest,Planned,FOLIO-S019,Two test users cannot see each other's documents,docs/BACKEND.md
FOLIO-S024,Task,Document API list and detail,Build APIs to list documents and open one document,Backend,High,Planned,FOLIO-S023,The API supports paging filters and safe not-found responses,backend/src/main/java/za/co/folio/api/DocumentController.java
FOLIO-S025,Task,Connect document list to API,Replace the frontend sample documents with real API data,Frontend,High,Planned,FOLIO-S024,Document list shows loading empty error retry and real data states,frontend/src/components/FolioApp.tsx
FOLIO-S026,Epic,Secure file upload,Let students upload private files safely,Backend,Highest,Planned,FOLIO-S024,Supported files are private and only the correct user can open them,docs/PRD.md; docs/BACKEND.md
FOLIO-S027,Task,Add upload URL API,Create an API that gives the browser a short-lived upload URL,Backend,Highest,Planned,FOLIO-S026,The URL expires and cannot be used for a different user or file,docs/BACKEND.md
FOLIO-S028,Task,Add file type and size checks,Accept PDF DOCX JPG and PNG and reject unsupported or oversized files,Security,Highest,Planned,FOLIO-S027,Invalid files are rejected with a clear safe error,docs/PRD.md
FOLIO-S029,Task,Check the real file type,Check file contents instead of trusting only the file extension,Security,Highest,Planned,FOLIO-S028,A file with a fake extension is rejected,docs/BACKEND.md
FOLIO-S030,Task,Add malware scanning step,Send each uploaded file through a malware scan before processing,Security,Highest,Planned,FOLIO-S029,Malware-positive files never reach OCR or extraction,docs/PRD.md
FOLIO-S031,Task,Save upload and checksum,Create the document record after upload and save a checksum,Backend,High,Planned,FOLIO-S027,Missing files wrong checksums and repeated completions are handled safely,docs/BACKEND.md
FOLIO-S032,Task,Add secure preview and download,Give authorized users short-lived links to view or download their files,Backend,Highest,Planned,FOLIO-S031,Expired and unauthorized links do not work,docs/BACKEND.md
FOLIO-S033,Task,Connect upload window to API,Replace the simulated upload in the frontend with the real upload flow,Frontend,High,Planned,FOLIO-S031,Upload progress retry and processing status are shown,frontend/src/components/FolioApp.tsx
FOLIO-S034,Task,Test secure uploads,Test bad files malware files expired links duplicate uploads and two-user access,Testing,Highest,Planned,FOLIO-S032,All upload security tests pass,docs/DEVELOPMENT.md
FOLIO-S035,Epic,Document processing,Process uploaded documents and show progress,Backend,Highest,Planned,FOLIO-S031,An uploaded test document reaches ready or review-required status,docs/BACKEND.md; docs/ROADMAP.md
FOLIO-S036,Task,Add processing statuses,Add the statuses uploaded scanning OCR classifying extracting indexing ready review-required and failed,Backend,High,Planned,FOLIO-S035,Only valid status changes are allowed and every attempt is recorded,docs/BACKEND.md
FOLIO-S037,Task,Add processing queue,Create jobs for each processing stage,Backend,High,Planned,FOLIO-S036,Jobs can be picked up by a worker and are not processed twice,docs/BACKEND.md
FOLIO-S038,Task,Add retries and failed jobs,Retry temporary failures and record permanent failures safely,Backend,High,Planned,FOLIO-S037,Worker restarts and failed jobs do not lose document metadata,docs/BACKEND.md
FOLIO-S039,Task,Add processing status API,Create an API that reports current processing stage progress and safe error messages,Backend,High,Planned,FOLIO-S036,The frontend can poll the status without seeing sensitive data,docs/FRONTEND.md
