"Summary","Description","Status","Issue Type","Priority","Task","Epic"
"Folio app setup","Set up the main Folio application structure Done when: The app runs locally and the main screens are easy to reach Useful files: README.md; docs/DEVELOPMENT.md","Planned","Epic","High","Folio app setup","Folio app setup"
"Navigation and sidebar","Build the desktop sidebar and mobile navigation Done when: Users can move between Dashboard Documents Ask Deadlines and Security without layout problems Useful files: frontend/src/components/FolioApp.tsx; frontend/app/globals.css","Done","Task","High","Navigation and sidebar","Folio app setup"
"Dashboard screen","Build the dashboard with document counts upcoming deadlines recent documents and quick actions Done when: Dashboard shows useful empty loading and error states Useful files: frontend/src/components/FolioApp.tsx","Done","Task","High","Dashboard screen","Folio app setup"
"Document list screen","Build the document vault list with cards categories dates confidence and status Done when: Users can see their documents and an empty state when there are none Useful files: frontend/src/components/FolioApp.tsx","Done","Task","High","Document list screen","Folio app setup"
"Document filters","Add filters for document type processing status date and confidence Done when: FILTERS change the displayed documents correctly Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","Medium","Document filters","Folio app setup"
"Document detail screen","Build the page that shows a document summary entities source preview OCR and JSON Done when: Users can open a document and switch between its detail tabs Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","High","Document detail screen","Folio app setup"
"Source evidence display","Show the page or passage that supports every extracted fact Done when: Every value has source evidence or clearly says evidence is unavailable Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","High","Source evidence display","Folio app setup"
"Upload document window","Build the upload window with title category file selection and progress Done when: Users receive clear success error retry and processing messages Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","High","Upload document window","Folio app setup"
"Ask Folio screen","Build the question screen with question input suggestions answers and citations Done when: Users can ask a question and see its sources Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","High","Ask Folio screen","Folio app setup"
"Deadline screen","Build the deadlines timeline with urgency source document and completion action Done when: Users can see upcoming overdue completed and uncertain deadlines Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","Medium","Deadline screen","Folio app setup"
"Security screen","Build the security page with sharing controls audit search and export button Done when: Users can view security information and search audit activity Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","High","Security screen","Folio app setup"
"Mobile and accessibility check","Check keyboard use screen readers contrast focus and small screens Done when: Main journeys work at mobile width without horizontal scrolling Useful files: frontend/app/globals.css; docs/DEVELOPMENT.md","Planned","Task","High","Mobile and accessibility check","Folio app setup"
"Login and users","Allow students to sign in securely and give each user their own account Done when: Valid users can sign in and users cannot see another user's information Useful files: docs/PRD.md; docs/BACKEND.md","Planned","Epic","Highest","Login and users","Login and users"
"Connect Eduvos login","Connect the backend to Eduvos OIDC login Done when: The backend accepts valid Eduvos tokens and rejects invalid tokens Useful files: backend/pom.xml; backend/src/main/resources/application.yml","Planned","Task","Highest","Connect Eduvos login","Login and users"
"Create user account record","Save a local user record the first time they sign in Done when: A user is created from their OIDC subject and duplicate accounts are not created Useful files: docs/BACKEND.md","Planned","Task","Highest","Create user account record","Login and users"
"Add logout and session expiry","Handle logout expired sessions and failed login callbacks Done when: Expired or logged-out sessions cannot access protected pages Useful files: docs/PRD.md; frontend/app","Planned","Task","High","Add logout and session expiry","Login and users"
"Add login tests","Test valid login wrong issuer wrong audience expired token and missing user ID Done when: All login tests pass without real credentials Useful files: docs/DEVELOPMENT.md","Planned","Task","High","Add login tests","Login and users"
"Document database","Store document information and processing results in PostgreSQL Done when: Documents users deadlines questions and audit records can be saved and loaded Useful files: docs/BACKEND.md; docs/ROADMAP.md","Planned","Epic","Highest","Document database","Login and users"
"Create document tables","Create database tables for users documents versions and processing attempts Done when: Tables store owner file name type size checksum status and dates Useful files: docs/BACKEND.md","Planned","Task","Highest","Create document tables","Login and users"
"Create extracted data tables","Create tables for extracted facts document text chunks and source locations Done when: Each extracted fact points to its document page and processing version Useful files: docs/BACKEND.md","Planned","Task","High","Create extracted data tables","Login and users"
"Create deadline and question tables","Create tables for deadlines questions answers and citations Done when: Deadlines and answers can be linked back to their source documents Useful files: docs/BACKEND.md","Planned","Task","High","Create deadline and question tables","Login and users"
"Create consent and audit tables","Create tables for sharing permissions consent history and audit events Done when: Consent has recipient purpose expiry and revocation information Useful files: docs/PRD.md","Planned","Task","Highest","Create consent and audit tables","Login and users"
"Document ownership queries","Make sure database queries only return documents the current user may see Done when: Two test users cannot see each other's documents Useful files: docs/BACKEND.md","Planned","Task","Highest","Document ownership queries","Login and users"
"Document API list and detail","Build APIs to list documents and open one document Done when: The API supports paging filters and safe not-found responses Useful files: backend/src/main/java/za/co/folio/api/DocumentController.java","Planned","Task","High","Document API list and detail","Login and users"
"Connect document list to API","Replace the frontend sample documents with real API data Done when: Document list shows loading empty error retry and real data states Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","High","Connect document list to API","Login and users"
"Secure file upload","Let students upload private files safely Done when: Supported files are private and only the correct user can open them Useful files: docs/PRD.md; docs/BACKEND.md","Planned","Epic","Highest","Secure file upload","Secure file upload"
"Add upload URL API","Create an API that gives the browser a short-lived upload URL Done when: The URL expires and cannot be used for a different user or file Useful files: docs/BACKEND.md","Planned","Task","Highest","Add upload URL API","Secure file upload"
"Add file type and size checks","Accept PDF DOCX JPG and PNG and reject unsupported or oversized files Done when: Invalid files are rejected with a clear safe error Useful files: docs/PRD.md","Planned","Task","Highest","Add file type and size checks","Secure file upload"
"Check the real file type","Check file contents instead of trusting only the file extension Done when: A file with a fake extension is rejected Useful files: docs/BACKEND.md","Planned","Task","Highest","Check the real file type","Secure file upload"
"Add malware scanning step","Send each uploaded file through a malware scan before processing Done when: Malware-positive files never reach OCR or extraction Useful files: docs/PRD.md","Planned","Task","Highest","Add malware scanning step","Secure file upload"
"Save upload and checksum","Create the document record after upload and save a checksum Done when: Missing files wrong checksums and repeated completions are handled safely Useful files: docs/BACKEND.md","Planned","Task","High","Save upload and checksum","Secure file upload"
"Add secure preview and download","Give authorized users short-lived links to view or download their files Done when: Expired and unauthorized links do not work Useful files: docs/BACKEND.md","Planned","Task","Highest","Add secure preview and download","Secure file upload"
"Connect upload window to API","Replace the simulated upload in the frontend with the real upload flow Done when: Upload progress retry and processing status are shown Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","High","Connect upload window to API","Secure file upload"
"Test secure uploads","Test bad files malware files expired links duplicate uploads and two-user access Done when: All upload security tests pass Useful files: docs/DEVELOPMENT.md","Planned","Task","Highest","Test secure uploads","Secure file upload"
"Document processing","Process uploaded documents and show progress Done when: An uploaded test document reaches ready or review-required status Useful files: docs/BACKEND.md; docs/ROADMAP.md","Planned","Epic","Highest","Document processing","Document processing"
"Add processing statuses","Add the statuses uploaded scanning OCR classifying extracting indexing ready review-required and failed Done when: Only valid status changes are allowed and every attempt is recorded Useful files: docs/BACKEND.md","Planned","Task","High","Add processing statuses","Document processing"
"Add processing queue","Create jobs for each processing stage Done when: Jobs can be picked up by a worker and are not processed twice Useful files: docs/BACKEND.md","Planned","Task","High","Add processing queue","Document processing"
"Add retries and failed jobs","Retry temporary failures and record permanent failures safely Done when: Worker restarts and failed jobs do not lose document metadata Useful files: docs/BACKEND.md","Planned","Task","High","Add retries and failed jobs","Document processing"
"Add processing status API","Create an API that reports current processing stage progress and safe error messages Done when: The frontend can poll the status without seeing sensitive data Useful files: docs/FRONTEND.md","Planned","Task","High","Add processing status API","Document processing"
"Show processing progress in frontend","Connect document details and upload flow to processing status Done when: Users see progress success failure retry and review-required states Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","High","Show processing progress in frontend","Document processing"
"Test processing recovery","Test duplicate jobs worker restart timeout retry exhaustion and poison jobs Done when: Processing tests pass and no duplicate results are created Useful files: docs/DEVELOPMENT.md","Planned","Task","High","Test processing recovery","Document processing"
"OCR and document understanding","Read documents and extract useful information with source references Done when: Test documents produce text type summary facts and confidence values Useful files: docs/ROADMAP.md","Planned","Epic","High","OCR and document understanding","OCR and document understanding"
"Connect OCR service","Add a provider interface for reading text from normal and scanned documents Done when: The OCR provider can be changed without rewriting the rest of the app Useful files: docs/BACKEND.md","Planned","Task","High","Connect OCR service","OCR and document understanding"
"Classify document type","Identify NSFAS bursary fee bank appeal or unknown documents Done when: The result includes a type confidence score and parser version Useful files: docs/ROADMAP.md","Planned","Task","High","Classify document type","OCR and document understanding"
"Extract important facts","Extract amounts dates conditions institutions actions and funding status Done when: Each fact includes confidence page number and text location Useful files: docs/PRD.md; docs/BACKEND.md","Planned","Task","Highest","Extract important facts","OCR and document understanding"
"Create document summary","Create a plain-language summary from extracted information Done when: Summary claims link to source evidence and missing information is clearly shown Useful files: docs/PRD.md","Planned","Task","High","Create document summary","OCR and document understanding"
"Mark uncertain results for review","Send low-confidence documents or facts to a review-required state Done when: Uncertain results are not presented as confirmed facts Useful files: docs/ROADMAP.md","Planned","Task","High","Mark uncertain results for review","OCR and document understanding"
"Create extraction test documents","Make synthetic examples for NSFAS bursary fee bank appeal clean PDF and scanned PDF Done when: The test set contains no real student documents Useful files: docs/ROADMAP.md","Planned","Task","High","Create extraction test documents","OCR and document understanding"
"Measure extraction quality","Measure how often extracted types facts and dates are correct Done when: The project has a report showing accuracy speed and cost by document type Useful files: docs/ROADMAP.md","Planned","Task","Medium","Measure extraction quality","OCR and document understanding"
"Show real extracted data","Replace simulated document details with OCR and extraction results Done when: Users can open each fact's source page or passage Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","High","Show real extracted data","OCR and document understanding"
"Ask questions safely","Answer questions only from documents the current user may access Done when: Every answer has a source or clearly says Folio cannot answer Useful files: docs/PRD.md; docs/BACKEND.md","Planned","Epic","Highest","Ask questions safely","Ask questions safely"
"Split text into searchable chunks","Split document text into page-aware searchable pieces Done when: Each chunk stores document page owner and version information Useful files: docs/BACKEND.md","Planned","Task","High","Split text into searchable chunks","Ask questions safely"
"Add document search","Search document titles facts and authorized text Done when: Search never returns another user's or deleted document text Useful files: docs/PRD.md","Planned","Task","High","Add document search","Ask questions safely"
"Add authorized retrieval","Apply user institution sharing and retention checks before searching Done when: Unauthorized and revoked content is excluded every time Useful files: docs/BACKEND.md","Planned","Task","Highest","Add authorized retrieval","Ask questions safely"
"Create question API","Build an API that receives a question and returns an answer with sources and confidence Done when: The response includes answer status citations confidence and safe errors Useful files: docs/BACKEND.md","Planned","Task","Highest","Create question API","Ask questions safely"
"Check answer citations","Reject answers when a cited passage was not actually retrieved Done when: Answers with fake or missing citations are rejected Useful files: docs/BACKEND.md","Planned","Task","Highest","Check answer citations","Ask questions safely"
"Add cannot-answer responses","Return a clear response when evidence is missing conflicting old or too uncertain Done when: The system does not guess when evidence is insufficient Useful files: docs/PRD.md","Planned","Task","High","Add cannot-answer responses","Ask questions safely"
"Connect Ask screen to API","Replace simulated answers with real answers sources loading errors and feedback Done when: Users can ask questions open sources see cannot-answer responses and rate answers Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","High","Connect Ask screen to API","Ask questions safely"
"Test question security","Test cross-user questions revoked sharing prompt injection fake citations and empty search results Done when: All security tests fail closed Useful files: docs/BACKEND.md","Planned","Task","Highest","Test question security","Ask questions safely"
"Deadlines and reminders","Turn dates and actions in documents into manageable student tasks Done when: Students can review edit complete dismiss and later receive reminders Useful files: docs/PRD.md; docs/ROADMAP.md","Planned","Epic","High","Deadlines and reminders","Deadlines and reminders"
"Find deadline candidates","Find actions dates timezones and confidence values in extracted documents Done when: Each candidate points to the source document and page Useful files: docs/BACKEND.md","Planned","Task","High","Find deadline candidates","Deadlines and reminders"
"Build deadline update API","Allow students to confirm edit dismiss complete and restore a deadline Done when: Changes are saved safely and original extracted evidence stays available Useful files: docs/PRD.md","Planned","Task","High","Build deadline update API","Deadlines and reminders"
"Connect deadlines to frontend","Replace simulated deadline actions with real API data Done when: Timeline shows loading error empty upcoming overdue and completed states Useful files: frontend/src/components/FolioApp.tsx","Planned","Task","High","Connect deadlines to frontend","Deadlines and reminders"
"Add reminder settings","Allow students to choose whether and when reminders are sent Done when: No reminder is sent unless the student opted in and confirmed the deadline Useful files: docs/PRD.md","Planned","Task","High","Add reminder settings","Deadlines and reminders"
"Test deadlines and reminders","Test editing completion duplicate reminders timezones and opt-out Done when: Deadline and reminder tests pass Useful files: docs/ROADMAP.md","Planned","Task","High","Test deadlines and reminders","Deadlines and reminders"
"Sharing privacy and audit","Allow limited sharing and give students control over their data Done when: Sharing export deletion and audit features work with synthetic data Useful files: docs/PRD.md; docs/BACKEND.md","Planned","Epic","Highest","Sharing privacy and audit","Sharing privacy and audit"
"Create sharing permission API","Let a student share selected documents or summaries with a named staff member for a purpose and expiry Done when: Staff access is limited to the selected scope and expiry date Useful files: docs/PRD.md","Planned","Task","Highest","Create sharing permission API","Sharing privacy and audit"
"Add revoke sharing","Let students revoke access immediately Done when: Revoked access fails on the next request and the event is audited Useful files: docs/PRD.md","Planned","Task","Highest","Add revoke sharing","Sharing privacy and audit"
