Issue Key,Issue Type,Summary,Description,Epic,Priority,Status,Sprint,Dependencies,Acceptance Criteria,Labels
FOLIO-1,Epic,Prototype Foundation,Responsive product experience using synthetic data only,Prototype Foundation,High,In Progress,Sprint 0,None,Prototype build passes and primary journeys are reviewable,phase-0
FOLIO-2,Story,Document Vault UI,Display seeded documents with categories confidence summaries and detail navigation,Prototype Foundation,High,Done,Sprint 0,None,User can browse documents filter mentally by type and open a detail view,frontend
FOLIO-3,Story,Document Detail Evidence UI,Show summaries entities confidence OCR JSON and source highlight interactions,Prototype Foundation,High,Done,Sprint 0,FOLIO-2,Every displayed extraction has visible source evidence or a clear simulated equivalent,frontend
FOLIO-4,Story,Responsive Mobile Navigation,Provide mobile bottom navigation compact layouts and detail view tabs,Prototype Foundation,High,Done,Sprint 0,None,Core screens work without horizontal overflow on narrow viewports,frontend mobile
FOLIO-5,Story,Authentication Prototype,Implement simulated credentials MFA resend timer errors and sign out,Prototype Foundation,Medium,Done,Sprint 0,None,User can complete the prototype sign-in flow without real credentials,frontend auth
FOLIO-6,Story,Grounded Q&A Prototype,Provide simulated question answers citations suggestions and typing states,Prototype Foundation,High,Done,Sprint 0,FOLIO-3,Non-abstained prototype answers display a source citation,frontend ai
FOLIO-7,Story,Deadline Timeline Prototype,Display extracted-style obligations urgency source documents and completion state,Prototype Foundation,Medium,Done,Sprint 0,FOLIO-2,User can review and resolve a simulated obligation,frontend deadlines
FOLIO-8,Story,Security and Audit Prototype,Display security controls sharing toggle searchable audit events and export action,Prototype Foundation,High,Done,Sprint 0,None,User can review simulated controls and export audit data,frontend security
FOLIO-9,Task,Prototype Accessibility Review,Review keyboard focus labels dialogs status messages contrast and mobile behavior,Prototype Foundation,High,Planned,Sprint 0,FOLIO-2; FOLIO-4,Primary flows pass manual accessibility review,accessibility
FOLIO-10,Epic,Secure Pilot Foundation,Connect one authorised student to real metadata and encrypted source storage,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-1,OIDC ownership storage and processing smoke test pass,phase-1
FOLIO-11,Story,OIDC User Authentication,Implement Eduvos OIDC validation user provisioning session expiry logout and role boundaries,Secure Pilot Foundation,Highest,Blocked,Sprint 1,Eduvos provider configuration,Invalid or expired tokens are rejected and valid users receive a local profile,backend auth
FOLIO-12,Story,Document Metadata Schema,Create migrations and repositories for users documents versions and processing attempts,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-11,Metadata persists with ownership status checksum and retention fields,backend database
FOLIO-13,Story,Signed Upload Flow,Implement upload URL completion callback checksum private object key and signed preview URL,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-11; FOLIO-12,Supported test files upload directly to private storage and cannot be accessed by another user,backend storage
FOLIO-14,Story,File Validation and Malware Handoff,Validate file signature type size and scan result before processing,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-13,Unsupported oversized corrupt or unsafe files are rejected safely,security storage
FOLIO-15,Story,Processing State Machine,Implement queue jobs leases retries idempotency dead letter handling and explicit processing states,Secure Pilot Foundation,High,Planned,Sprint 1,FOLIO-12; FOLIO-13,Duplicate jobs and worker restarts do not create duplicate or lost results,backend worker
FOLIO-16,Story,Frontend API Integration,Replace seeded document state with typed API clients loading errors retries and polling,Secure Pilot Foundation,High,Planned,Sprint 1,FOLIO-12; FOLIO-15,Frontend renders server state and recovers from failed processing,frontend api
FOLIO-17,Task,Secure Pilot Smoke Test,Run synthetic upload process inspect download and delete journey,Secure Pilot Foundation,Highest,Planned,Sprint 1,FOLIO-11; FOLIO-13; FOLIO-15; FOLIO-16,End-to-end synthetic document journey passes with audit events,qa security
FOLIO-18,Epic,Trusted Intelligence,Make extraction and answers measurable evidence-bound and safe,Trusted Intelligence,Highest,Planned,Sprint 2,FOLIO-17,Quality and authorisation gates pass before pilot use,phase-2
FOLIO-19,Story,OCR and Classification Pipeline,Add OCR provider adapter scanned image handling category classification and parser versions,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-15,Supported document samples produce classified text with confidence and version metadata,ai processing
FOLIO-20,Story,Entity and Summary Extraction,Extract amounts dates conditions institutions actions and funding status with provenance,Trusted Intelligence,Highest,Planned,Sprint 2,FOLIO-19,Fields include confidence page offsets and source evidence,ai processing
FOLIO-21,Story,Deadline Candidate Extraction,Derive candidate actions dates timezones confidence and source references,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-20,Dates are reviewable and uncertain candidates are not presented as confirmed,deadlines
FOLIO-22,Story,Chunking and Embeddings,Create page-aware chunks embeddings and retrieval metadata,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-19; FOLIO-20,Chunks retain document page and ownership scope metadata,retrieval
FOLIO-23,Story,Authorised Retrieval,Enforce owner tenant consent retention and role filters before vector or keyword search,Trusted Intelligence,Highest,Planned,Sprint 2,FOLIO-22,All cross-user and revoked-consent retrieval tests fail closed,security retrieval
FOLIO-24,Story,Grounded Answer Generation,Generate answers validate citations and abstain on missing contradictory or weak evidence,Trusted Intelligence,Highest,Planned,Sprint 2,FOLIO-23,Every non-abstained answer contains a verifiable citation,ai security
FOLIO-25,Task,Extraction Quality Evaluation,Create labelled samples and measure precision recall latency and cost by document type,Trusted Intelligence,High,Planned,Sprint 2,FOLIO-19; FOLIO-20,Quality results and thresholds are documented before pilot claims,qa ai
FOLIO-26,Epic,Pilot Operations and Privacy,Operate safely for a controlled cohort with consent reminders privacy and recovery,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-18,Operational and POPIA workflows are tested with synthetic and pilot data,phase-3
FOLIO-27,Story,Deadline Confirmation and Reminders,Allow confirm edit dismiss complete and notification preference management,Operations and Privacy,High,Planned,Sprint 3,FOLIO-21,No reminder is sent without user preference and source evidence remains linked,deadlines notifications
FOLIO-28,Story,Consent-Based Staff Review,Implement scoped time-limited purpose-bound read-only staff access and revocation,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-11; FOLIO-23,Staff cannot access data outside active consent and role scope,privacy access
FOLIO-29,Story,POPIA Export and Deletion,Implement export deletion requests retention exceptions and derived-index cleanup,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-12; FOLIO-22,Export and deletion complete safely and leave an appropriate audit record,privacy compliance
FOLIO-30,Story,Audit and Observability,Add immutable audit events metrics request IDs alerts and sensitive log redaction,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-11; FOLIO-15,Security and processing events are traceable without raw document content,operations security
FOLIO-31,Story,Backups and Incident Runbooks,Configure backups restore tests rate limits secret rotation and incident procedures,Operations and Privacy,High,Planned,Sprint 3,FOLIO-12; FOLIO-30,Restore and incident drills produce documented successful outcomes,operations
FOLIO-32,Task,Pilot Readiness Review,Review security privacy support ownership cost metrics and rollback before real cohort,Operations and Privacy,Highest,Planned,Sprint 3,FOLIO-27; FOLIO-28; FOLIO-29; FOLIO-30; FOLIO-31,Pilot gate is approved and all critical risks have owners,release
FOLIO-33,Epic,Expansion and Scale,Extend validated workflows to institutions mobile and operational scale,Expansion and Scale,Medium,Planned,Sprint 4,FOLIO-32,Expansion does not weaken shared security or evidence guarantees,phase-4
FOLIO-34,Story,Configurable Institution Taxonomies,Support institution-specific categories terminology templates and retention configuration,Expansion and Scale,Medium,Planned,Sprint 4,FOLIO-32,New institution configuration requires no core security code changes,platform
FOLIO-35,Story,Accessibility and Multilingual Improvements,Use participant research to improve assistive technology and language support,Expansion and Scale,Medium,Planned,Sprint 4,FOLIO-32,Updated accessibility regression suite passes for core journeys,accessibility
FOLIO-36,Story,Processing Cost and Performance Controls,Add batching routing caching quotas storage lifecycle and service-level metrics,Expansion and Scale,Medium,Planned,Sprint 4,FOLIO-30,Cost per document and processing performance remain within approved limits,platform operations
